block	s_base	s_cross	s_cross_after	s_cross_bidir	gc	gc_after	gc_bidir
0	0.594796	0.233517	0.237739	0.307807	0.361279	0.357057	0.286989
1	0.576843	0.229623	0.234837	0.334737	0.347221	0.342006	0.242106
2	0.596762	0.239122	0.243744	0.323396	0.357640	0.353018	0.273366
3	0.659949	0.269501	0.273435	0.335969	0.390448	0.386513	0.323980
4	0.671937	0.276560	0.280199	0.329389	0.395377	0.391738	0.342548
5	0.704943	0.278434	0.283748	0.349351	0.426509	0.421195	0.355593
6	0.706653	0.258804	0.265099	0.333887	0.447849	0.441554	0.372766
7	0.760411	0.231618	0.237883	0.297357	0.528793	0.522528	0.463055
8	0.815161	0.314494	0.319454	0.358311	0.500667	0.495706	0.456850
9	0.863103	0.345164	0.349680	0.373726	0.517939	0.513423	0.489377
10	0.921447	0.492644	0.493097	0.494317	0.428803	0.428349	0.427130
11	0.978119	0.763403	0.763403	0.763403	0.214716	0.214716	0.214716
